Data as of,Start Date,End Date,Sex,Age Years,Total deaths,COVID-19 Deaths
02-03-2021,01-01-2020,01/30/2021,Male,<1 year,10556,30
02-03-2021,01-01-2020,01/30/2021,Male,01 Years,763,7
02-03-2021,01-01-2020,01/30/2021,Male,02 Years,511,3
02-03-2021,01-01-2020,01/30/2021,Male,03 Years,410,1
02-03-2021,01-01-2020,01/30/2021,Male,04 Years,315,3
02-03-2021,01-01-2020,01/30/2021,Male,05 Years,306,5
02-03-2021,01-01-2020,01/30/2021,Male,06 Years,250,1
02-03-2021,01-01-2020,01/30/2021,Male,07 Years,240,4
02-03-2021,01-01-2020,01/30/2021,Male,08 Years,210,3
02-03-2021,01-01-2020,01/30/2021,Male,09 Years,230,3
02-03-2021,01-01-2020,01/30/2021,Male,10 Years,273,2
02-03-2021,01-01-2020,01/30/2021,Male,11 Years,317,5
02-03-2021,01-01-2020,01/30/2021,Male,12 Years,347,8
02-03-2021,01-01-2020,01/30/2021,Male,13 Years,499,5
02-03-2021,01-01-2020,01/30/2021,Male,14 Years,676,2
02-03-2021,01-01-2020,01/30/2021,Male,15 Years,901,7
02-03-2021,01-01-2020,01/30/2021,Male,16 Years,1279,6
02-03-2021,01-01-2020,01/30/2021,Male,17 Years,1641,14
02-03-2021,01-01-2020,01/30/2021,Male,18 Years,2337,15
02-03-2021,01-01-2020,01/30/2021,Male,19 Years,2868,39
02-03-2021,01-01-2020,01/30/2021,Male,20 Years,3037,36
02-03-2021,01-01-2020,01/30/2021,Male,21 Years,3453,47
02-03-2021,01-01-2020,01/30/2021,Male,22 Years,3541,50
02-03-2021,01-01-2020,01/30/2021,Male,23 Years,3752,65
02-03-2021,01-01-2020,01/30/2021,Male,24 Years,3955,84
02-03-2021,01-01-2020,01/30/2021,Male,25 Years,4220,75
02-03-2021,01-01-2020,01/30/2021,Male,26 Years,4403,97
02-03-2021,01-01-2020,01/30/2021,Male,27 Years,4754,124
02-03-2021,01-01-2020,01/30/2021,Male,28 Years,5078,123
02-03-2021,01-01-2020,01/30/2021,Male,29 Years,5379,171
02-03-2021,01-01-2020,01/30/2021,Male,30 Years,5638,163
02-03-2021,01-01-2020,01/30/2021,Male,31 Years,5731,217
02-03-2021,01-01-2020,01/30/2021,Male,32 Years,5615,214
02-03-2021,01-01-2020,01/30/2021,Male,33 Years,5810,250
02-03-2021,01-01-2020,01/30/2021,Male,34 Years,5945,280
02-03-2021,01-01-2020,01/30/2021,Male,35 Years,6055,296
02-03-2021,01-01-2020,01/30/2021,Male,36 Years,6205,307
02-03-2021,01-01-2020,01/30/2021,Male,37 Years,6607,368
02-03-2021,01-01-2020,01/30/2021,Male,38 Years,6649,400
