SlNo,State,Recovered
0,State Unassigned,0
1,Andaman and Nicobar Islands,0
2,Andaman and Nicobar Islands,1
3,Andaman and Nicobar Islands,32
0,Andhra Pradesh,434
4,Andhra Pradesh,14263
5,Andhra Pradesh,7948
6,Andhra Pradesh,14792
7,Andhra Pradesh,12007
8,Andhra Pradesh,5832
9,Andhra Pradesh,13314
0,Andhra Pradesh,2461
10,Andhra Pradesh,4324
11,Andhra Pradesh,5263
12,Andhra Pradesh,5235
13,Andhra Pradesh,6940
14,Andhra Pradesh,2757
15,Andhra Pradesh,11716
16,Andhra Pradesh,5584
17,Arunachal Pradesh,4
18,Arunachal Pradesh,122
19,Arunachal Pradesh,18
20,Arunachal Pradesh,69
21,Arunachal Pradesh,1
22,Arunachal Pradesh,0
23,Arunachal Pradesh,0
24,Arunachal Pradesh,11
25,Arunachal Pradesh,17
26,Arunachal Pradesh,8
27,Arunachal Pradesh,16
28,Arunachal Pradesh,17
29,Arunachal Pradesh,26
30,Arunachal Pradesh,56
31,Arunachal Pradesh,1
32,Arunachal Pradesh,750
33,Arunachal Pradesh,0
34,Arunachal Pradesh,3
35,Arunachal Pradesh,26
36,Arunachal Pradesh,30
37,Arunachal Pradesh,0
38,Arunachal Pradesh,20
39,Arunachal Pradesh,3
40,Arunachal Pradesh,34
41,Arunachal Pradesh,13
0,Assam,13
42,Assam,301
43,Assam,739
44,Assam,179
45,Assam,556
46,Assam,1499
47,Assam,67
48,Assam,175
49,Assam,1077
50,Assam,238
51,Assam,785
52,Assam,1486
53,Assam,166
54,Assam,382
55,Assam,1252
56,Assam,785
57,Assam,788
58,Assam,1569
59,Assam,1008
60,Assam,11336
61,Assam,322
62,Assam,549
63,Assam,348
64,Assam,565
65,Assam,54
66,Assam,349
67,Assam,1688
68,Assam,596
0,Assam,1
69,Assam,290
70,Assam,914
71,Assam,43
72,Assam,1318
73,Assam,417
74,Assam,29
75,Bihar,454
76,Bihar,474
77,Bihar,766
78,Bihar,507
79,Bihar,1450
80,Bihar,2316
81,Bihar,1320
82,Bihar,830
83,Bihar,707
101,Bihar,1111
84,Bihar,1729
85,Bihar,837
86,Bihar,689
87,Bihar,763
88,Bihar,453
89,Bihar,1002
90,Bihar,971
91,Bihar,616
92,Bihar,701
93,Bihar,574
94,Bihar,911
95,Bihar,950
96,Bihar,2100
97,Bihar,1718
98,Bihar,1211
100,Bihar,7559
102,Bihar,1090
103,Bihar,1644
104,Bihar,548
105,Bihar,1008
106,Bihar,1288
107,Bihar,465
108,Bihar,234
109,Bihar,450
110,Bihar,1317
111,Bihar,777
112,Bihar,1078
99,Bihar,1202
113,Chandigarh,777
0,Chhattisgarh,6
114,Chhattisgarh,92
115,Chhattisgarh,362
116,Chhattisgarh,191
117,Chhattisgarh,127
118,Chhattisgarh,155
119,Chhattisgarh,58
120,Chhattisgarh,591
121,Chhattisgarh,129
122,Chhattisgarh,37
123,Chhattisgarh,667
124,Chhattisgarh,83
125,Chhattisgarh,452
126,Chhattisgarh,218
127,Chhattisgarh,182
128,Chhattisgarh,75
129,Chhattisgarh,388
130,Chhattisgarh,104
131,Chhattisgarh,108
132,Chhattisgarh,168
133,Chhattisgarh,171
134,Chhattisgarh,202
135,Chhattisgarh,2325
136,Chhattisgarh,597
137,Chhattisgarh,71
138,Chhattisgarh,50
139,Chhattisgarh,222
140,Chhattisgarh,226
766,Chhattisgarh,31
144,Delhi,0
145,Delhi,0
146,Delhi,0
147,Delhi,0
148,Delhi,0
149,Delhi,0
150,Delhi,0
151,Delhi,0
152,Delhi,0
153,Delhi,0
154,Delhi,0
0,Dadra and Nagar Haveli and Daman and Diu,0
141,Dadra and Nagar Haveli and Daman and Diu,444
142,Dadra and Nagar Haveli and Daman and Diu,483
143,Dadra and Nagar Haveli and Daman and Diu,70
0,Goa,174
155,Goa,502
156,Goa,836
0,Gujarat,83
157,Gujarat,22152
158,Gujarat,324
159,Gujarat,475
160,Gujarat,271
161,Gujarat,752
162,Gujarat,757
163,Gujarat,1264
164,Gujarat,211
165,Gujarat,157
167,Gujarat,185
187,Gujarat,12
166,Gujarat,47
168,Gujarat,1276
169,Gujarat,362
170,Gujarat,595
171,Gujarat,849
173,Gujarat,563
172,Gujarat,409
175,Gujarat,210
174,Gujarat,547
176,Gujarat,239
177,Gujarat,315
178,Gujarat,455
179,Gujarat,375
180,Gujarat,555
181,Gujarat,45
182,Gujarat,1273
183,Gujarat,346
184,Gujarat,10233
185,Gujarat,494
186,Gujarat,136
188,Gujarat,4065
189,Gujarat,492
212,Himachal Pradesh,69
213,Himachal Pradesh,86
214,Himachal Pradesh,285
215,Himachal Pradesh,391
216,Himachal Pradesh,34
217,Himachal Pradesh,20
218,Himachal Pradesh,4
219,Himachal Pradesh,78
220,Himachal Pradesh,114
221,Himachal Pradesh,267
222,Himachal Pradesh,344
223,Himachal Pradesh,173
0,Haryana,0
190,Haryana,1527
191,Haryana,767
192,Haryana,107
193,Haryana,8622
194,Haryana,253
195,Haryana,8654
